Product Name,New Prices,Category,Type,Image URL(s),Stock Quantity,Description,Product Buy Link,Size/Color Variants,Gender,
Penti Strappy Round-Neck Camisole,1899,Clothing,Camisoles & Slips,https://assets.ajio.com/medias/sys_master/root/20221010/0vSN/634433f5f997ddfdbd1804bc/penti_black_strappy_round-neck_camisole.jpg,267,Comfortable camisole with a sleek design — perfect for layering or wearing solo.,https://www.ajio.com/penti-strappy-round-neck-camisole/p/460822237_black,black,Women,
Y-LONDON Floral Print Sheath Dress,2299,Clothing,Dresses,https://assets.ajio.com/medias/sys_master/root/20230719/VPSu/64b7f748eebac147fc7acd5c/y-london_blue_floral_print_sheath_dress.jpg,277,Elegant dress with a flattering silhouette — perfect for any occasion.,https://www.ajio.com/y-london-floral-print-sheath-dress/p/469371953_bluebeige,bluebeige,Women,
Y-LONDON Round-Neck Top with Lace Sleeves,1299,Clothing,Tops,https://assets.ajio.com/medias/sys_master/root/20221116/pzyX/6373def0aeb269659c8fede3/y-london_petrol_blue_round-neck_top_with_lace_sleeves.jpg,392,"Trendy top with a chic design — pairs well with jeans, skirts, or palazzos.",https://www.ajio.com/y-london-round-neck-top-with-lace-sleeves/p/469371639_petrol,petrol,Women,
TRENDYOL Leaf Print Sheath Dress with Frills,1799,Clothing,Dresses,https://assets.ajio.com/medias/sys_master/root/20221125/4pqQ/6380ebc6aeb269659cb64059/trendyol_pink_leaf_print_sheath_dress_with_frills.jpg,388,Elegant dress with a flattering silhouette — perfect for any occasion.,https://www.ajio.com/trendyol-leaf-print-sheath-dress-with-frills/p/469204835_pink,pink,Women,
Oxxo Mid-Rise Palazzo with Waist Tie-Up,1899,Clothing,Trousers & Pants,https://assets.ajio.com/medias/sys_master/root/20230518/qSBt/64665844d55b7d0c63c46107/oxxo_black_mid-rise_palazzo_with_waist_tie-up.jpg,223,Well-tailored trousers with a clean finish — ideal for formal and semi-formal occasions.,https://www.ajio.com/oxxo-mid-rise-palazzo-with-waist-tie-up/p/469151017_black,black,Women,
Barrels And Oil Placement Print Cropped Sweatshirt,1499,Clothing,Sweatshirt & Hoodies,https://assets.ajio.com/medias/sys_master/root/20221226/5KRq/63a94318f997ddfdbdf6916e/barrels_and_oil_blue_placement_print_cropped_sweatshirt.jpg,325,Comfortable everyday tee with relaxed fit and soft breathable fabric — perfect for casual wear.,https://www.ajio.com/barrels-and-oil-placement-print-cropped-sweatshirt/p/469047945_blue,blue,Men,
Barrels And Oil Washed Jacket with Buttoned Flap Pockets,3299,Clothing,Jackets & Coats,https://assets.ajio.com/medias/sys_master/root/20211126/PXU5/61a0fb46f997ddf8f11d2de6/barrels_and_oil_blue_washed_jacket_with_buttoned_flap_pockets.jpg,345,Stylish jacket with a modern cut — adds an instant edge to any outfit.,https://www.ajio.com/barrels-and-oil-washed-jacket-with-buttoned-flap-pockets/p/469047759_blue,blue,Women,
TALLY WEiJL Ribbed Square-Neck Bodycon Dress,1699,Clothing,Dresses,https://assets.ajio.com/medias/sys_master/root/20240613/ovTA/666cf5d61d763220fab9b906/tally_weijl_black_ribbed_square-neck_bodycon_dress.jpg,393,Elegant dress with a flattering silhouette — perfect for any occasion.,https://www.ajio.com/tally-weijl-ribbed-square-neck-bodycon-dress/p/469058913_black,black,Women,
Mavi Men Typographic Print Regular Fit Crew-Neck T-Shirt,1499,Clothing,Tshirts,https://assets.ajio.com/medias/sys_master/root/20240305/pl5F/65e72ec905ac7d77bb98961a/mavi_navy_blue_men_typographic_print_regular_fit_crew-neck_t-shirt.jpg,323,Comfortable everyday tee with relaxed fit and soft breathable fabric — perfect for casual wear.,https://www.ajio.com/mavi-men-typographic-print-regular-fit-crew-neck-t-shirt/p/469608449_navyblue,navyblue,Men,
Barrels And Oil Round-Neck Top with Chain Accent,1399,Clothing,Tops,https://assets.ajio.com/medias/sys_master/root/20230103/NmP6/63b44eb0aeb269659c21c05d/barrels_and_oil_purple_round-neck_top_with_chain_accent.jpg,309,"Trendy top with a chic design — pairs well with jeans, skirts, or palazzos.",https://www.ajio.com/barrels-and-oil-round-neck-top-with-chain-accent/p/460911206_lilac,lilac,Women,
TRENDYOL Colourblock Hoodie with Kangaroo Pocket,2599,Clothing,Sweatshirt & Hoodies,https://assets.ajio.com/medias/sys_master/root/20210903/8dU9/613141be7cdb8cb82414b4ba/trendyol_navy_blue_%26_red_colourblock_hoodie_with_kangaroo_pocket.jpg,306,Comfortable everyday tee with relaxed fit and soft breathable fabric — perfect for casual wear.,https://www.ajio.com/trendyol-colourblock-hoodie-with-kangaroo-pocket/p/460996162_navy,navy,Women,
Tom Tailor Round-Neck Sweatshirt with Drop-Shoulder Sleeves,2299,Clothing,Sweatshirt & Hoodies,https://assets.ajio.com/medias/sys_master/root/20230515/GhfC/646254b242f9e729d7873575/tom_tailor_blue_round-neck_sweatshirt_with_drop-shoulder_sleeves.jpg,285,Comfortable everyday tee with relaxed fit and soft breathable fabric — perfect for casual wear.,https://www.ajio.com/tom-tailor-round-neck-sweatshirt-with-drop-shoulder-sleeves/p/469356845_blue,blue,Women,
LC Waikiki Floral Print Shirt with Patch Pocket,1499,Clothing,Shirts,https://assets.ajio.com/medias/sys_master/root/20230612/1eNh/64873a90d55b7d0c63637d2b/lc_waikiki_blue_floral_print_shirt_with_patch_pocket.jpg,150,Classic regular-fit shirt with clean collar — versatile for both office and casual outings.,https://www.ajio.com/lc-waikiki-floral-print-shirt-with-patch-pocket/p/469252698_blue,blue,Women,
Koton Round-Neck Slim Fit Tank Top,1199,Clothing,Tops,https://assets.ajio.com/medias/sys_master/root/20220921/qpt3/632b3861aeb269dbb39d030d/koton_ecru_round-neck_slim_fit_tank_top.jpg,197,"Trendy top with a chic design — pairs well with jeans, skirts, or palazzos.",https://www.ajio.com/koton-round-neck-slim-fit-tank-top/p/469253207_ecru,ecru,Women,
Barrels And Oil Placement Print Crew-Neck Sweatshirt,1499,Clothing,Sweatshirt & Hoodies,https://assets.ajio.com/medias/sys_master/root/20221226/mcJI/63a9436df997ddfdbdf69c78/barrels_and_oil_black_placement_print_crew-neck_sweatshirt.jpg,162,Comfortable everyday tee with relaxed fit and soft breathable fabric — perfect for casual wear.,https://www.ajio.com/barrels-and-oil-placement-print-crew-neck-sweatshirt/p/469047807_black,black,Men,
Koton Fitted Strappy Sheath Dress,1399,Clothing,Dresses,https://assets.ajio.com/medias/sys_master/root/20230517/08eO/6464c52942f9e729d7908e1f/koton_anthracite_fitted_strappy_sheath_dress.jpg,312,Elegant dress with a flattering silhouette — perfect for any occasion.,https://www.ajio.com/koton-fitted-strappy-sheath-dress/p/469253049_anthracite,anthracite,Women,
I Saw It First Women Printed Fitted Crop Top,1699,Clothing,Tops,https://assets.ajio.com/medias/sys_master/root/20220912/Uia1/631f5bbdf997dd1f8df7c4fc/i_saw_it_first_white_%26_black_women_printed_fitted_crop_top.jpg,286,"Trendy top with a chic design — pairs well with jeans, skirts, or palazzos.",https://www.ajio.com/i-saw-it-first-women-printed-fitted-crop-top/p/469179998_white,white,Men,
LTB Shift Dress with Side Slit,1599,Clothing,Dresses,https://assets.ajio.com/medias/sys_master/root/20230914/uz7Z/65033e8cafa4cf41f5e61334/ltb_navy_blue_shift_dress_with_side_slit.jpg,297,Elegant dress with a flattering silhouette — perfect for any occasion.,https://www.ajio.com/ltb-shift-dress-with-side-slit/p/469359571_darknavy,darknavy,Women,
Xint Striped Button-Down Sheath Dress,2999,Clothing,Dresses,https://assets.ajio.com/medias/sys_master/root/20230914/SD7u/6503280cafa4cf41f5e52538/xint_grey_striped_button-down_sheath_dress.jpg,363,Elegant dress with a flattering silhouette — perfect for any occasion.,https://www.ajio.com/xint-striped-button-down-sheath-dress/p/469490393_grey,grey,Women,
Mavi Striped Shirt Top with Tie-Up Hemline,1799,Clothing,Tops,https://assets.ajio.com/medias/sys_master/root/20210528/75zq/60b10a11f997ddb312ad0f6c/mavi_blue_striped_shirt_top_with_tie-up_hemline.jpg,386,"Trendy top with a chic design — pairs well with jeans, skirts, or palazzos.",https://www.ajio.com/mavi-striped-shirt-top-with-tie-up-hemline/p/460900898_lightblue,lightblue,Women,
Oxxo Ruched Bootcut Pants with Waist Tie-Up,1899,Clothing,Trousers & Pants,https://assets.ajio.com/medias/sys_master/root/20230519/PzYE/64666f49d55b7d0c63c5287d/oxxo_hunter_green_ruched_bootcut_pants_with_waist_tie-up.jpg,349,Well-tailored trousers with a clean finish — ideal for formal and semi-formal occasions.,https://www.ajio.com/oxxo-ruched-bootcut-pants-with-waist-tie-up/p/469291297_green,green,Women,
Oxxo Knot-Front Top with Lace Trim,1699,Clothing,Tops,https://assets.ajio.com/medias/sys_master/root/20221125/PSky/63810055f997ddfdbd9f55bb/oxxo_cream_knot-front_top_with_lace_trim.jpg,217,"Trendy top with a chic design — pairs well with jeans, skirts, or palazzos.",https://www.ajio.com/oxxo-knot-front-top-with-lace-trim/p/469291489_cream,cream,Women,
Y-LONDON Striped Shirt Dress with Patch Pockets,2199,Clothing,Dresses,https://assets.ajio.com/medias/sys_master/root/20221115/x4Ur/6373b203aeb269659c8f166e/y-london_beige_striped_shirt_dress_with_patch_pockets.jpg,177,Elegant dress with a flattering silhouette — perfect for any occasion.,https://www.ajio.com/y-london-striped-shirt-dress-with-patch-pockets/p/469371997_beige,beige,Women,
Oxxo Skinny Pants with Insert Pockets,2299,Clothing,Trousers & Pants,https://assets.ajio.com/medias/sys_master/root/20230518/pz96/64665cdbd55b7d0c63c4af9e/oxxo_grey_skinny_pants_with_insert_pockets.jpg,257,Well-tailored trousers with a clean finish — ideal for formal and semi-formal occasions.,https://www.ajio.com/oxxo-skinny-pants-with-insert-pockets/p/469291382_grey,grey,Women,
Xint Crew Neck Regular Fit T-shirt,1599,Clothing,Tshirts,https://assets.ajio.com/medias/sys_master/root/20230914/Fx5D/6503361bddf7791519d98cdd/xint_off_white_crew_neck_regular_fit_t-shirt.jpg,321,Comfortable everyday tee with relaxed fit and soft breathable fabric — perfect for casual wear.,https://www.ajio.com/xint-crew-neck-regular-fit-t-shirt/p/469490543_yellow,yellow,Women,
Koton Ribbed Crew-Neck T-Shirt,1299,Clothing,Tshirts,https://assets.ajio.com/medias/sys_master/root/20230517/neRa/6464c43842f9e729d79087a4/koton_olive_ribbed_crew-neck_t-shirt.jpg,333,Comfortable everyday tee with relaxed fit and soft breathable fabric — perfect for casual wear.,https://www.ajio.com/koton-ribbed-crew-neck-t-shirt/p/460694425_khaki,khaki,Women,
Wknd Sheath Dress with Lace Inserts,1699,Clothing,Dresses,https://assets.ajio.com/medias/sys_master/root/20230601/rscl/64781f6ed55b7d0c632f8df9/wknd_pink_sheath_dress_with_lace_inserts.jpg,180,Elegant dress with a flattering silhouette — perfect for any occasion.,https://www.ajio.com/wknd-sheath-dress-with-lace-inserts/p/469403671_pink,pink,Women,
Mavi Women Brand Print Realxed Fit Crew-Neck T-Shirt,1299,Clothing,Tshirts,https://assets.ajio.com/medias/sys_master/root/20250123/uOaE/67923f09663dbe1c5ff7d12e/mavi_green_women_brand_print_realxed_fit_crew-neck_t-shirt.jpg,244,Comfortable everyday tee with relaxed fit and soft breathable fabric — perfect for casual wear.,https://www.ajio.com/mavi-women-brand-print-realxed-fit-crew-neck-t-shirt/p/469608557_green,green,Men,
Barrels And Oil Round-Neck Longline T-shirt with Side Slits,1499,Clothing,Tshirts,https://assets.ajio.com/medias/sys_master/root/20221226/aLcu/63a94196aeb269659c0aca40/barrels_and_oil_purple_round-neck_longline_t-shirt_with_side_slits.jpg,268,Comfortable everyday tee with relaxed fit and soft breathable fabric — perfect for casual wear.,https://www.ajio.com/barrels-and-oil-round-neck-longline-t-shirt-with-side-slits/p/460911184_lilac,lilac,Women,
TALLY WEiJL Sciffli Embroidered V-Neck Top,1699,Clothing,Tops,https://assets.ajio.com/medias/sys_master/root/20220722/3bzb/62d9a115aeb26921af8d7122/tally_weijl_black_sciffli_embroidered_v-neck_top.jpg,202,"Trendy top with a chic design — pairs well with jeans, skirts, or palazzos.",https://www.ajio.com/tally-weijl-sciffli-embroidered-v-neck-top/p/469159478_black,black,Women,
TALLY WEiJL V-Neck Crop Top,1399,Clothing,Tops,https://assets.ajio.com/medias/sys_master/root/20220722/Gn0H/62d99ff6aeb26921af8d6bfc/tally_weijl_black_v-neck_crop_top.jpg,181,"Trendy top with a chic design — pairs well with jeans, skirts, or palazzos.",https://www.ajio.com/tally-weijl-v-neck-crop-top/p/469231274_black,black,Women,
Glamorous Paisley Print A-line Dress,1799,Clothing,Dresses,https://assets.ajio.com/medias/sys_master/root/20230914/014V/65032078afa4cf41f5e4fa44/glamorous_red_paisley_print_a-line_dress.jpg,303,Elegant dress with a flattering silhouette — perfect for any occasion.,https://www.ajio.com/glamorous-paisley-print-a-line-dress/p/460971995_printed,printed,Women,
I Saw It First Off-Shoulder Fitted Top with Cutwork,1799,Clothing,Tops,https://assets.ajio.com/medias/sys_master/root/20220912/0ufF/631f5019f997dd1f8df76523/i_saw_it_first_blue_off-shoulder_fitted_top_with_cutwork.jpg,369,"Trendy top with a chic design — pairs well with jeans, skirts, or palazzos.",https://www.ajio.com/i-saw-it-first-off-shoulder-fitted-top-with-cutwork/p/469180042_cobalt,cobalt,Women,
Oxxo Round-Neck Bodycon Dress,1799,Clothing,Dresses,https://assets.ajio.com/medias/sys_master/root/20230518/dtQc/64666bf8d55b7d0c63c511c0/oxxo_black_round-neck_bodycon_dress.jpg,352,Elegant dress with a flattering silhouette — perfect for any occasion.,https://www.ajio.com/oxxo-round-neck-bodycon-dress/p/469291255_black,black,Women,
Barrels And Oil Cropped Hoodie with Back Cutout,1599,Clothing,Sweatshirt & Hoodies,https://assets.ajio.com/medias/sys_master/root/20221226/xF7r/63a94185f997ddfdbdf657bc/barrels_and_oil_black_cropped_hoodie_with_back_cutout.jpg,381,Comfortable everyday tee with relaxed fit and soft breathable fabric — perfect for casual wear.,https://www.ajio.com/barrels-and-oil-cropped-hoodie-with-back-cutout/p/469047850_black,black,Women,
Barrels And Oil Panelled Hoodie with Short Zip Placket,2599,Clothing,Sweatshirt & Hoodies,https://assets.ajio.com/medias/sys_master/root/20221226/ZAoX/63a942bcaeb269659c0af4af/barrels_and_oil_black_panelled_hoodie_with_short_zip_placket.jpg,358,Comfortable everyday tee with relaxed fit and soft breathable fabric — perfect for casual wear.,https://www.ajio.com/barrels-and-oil-panelled-hoodie-with-short-zip-placket/p/469047958_black,black,Women,
Hailys Textured V-neck Top,1699,Clothing,Tops,https://assets.ajio.com/medias/sys_master/root/20211208/1TZH/61b0cdb6f997ddf8f146fd64/hailys_pink_textured_v-neck_top.jpg,182,"Trendy top with a chic design — pairs well with jeans, skirts, or palazzos.",https://www.ajio.com/hailys-textured-v-neck-top/p/469054496_rose,rose,Women,
Penti Floral Print Camisole with Ruffled Panel,1399,Clothing,Camisoles & Slips,https://assets.ajio.com/medias/sys_master/root/20210820/iw88/611fd018aeb269a2687902d3/penti_white_floral_print_camisole_with_ruffled_panel.jpg,242,Comfortable camisole with a sleek design — perfect for layering or wearing solo.,https://www.ajio.com/penti-floral-print-camisole-with-ruffled-panel/p/460950601_mixture,mixture,Women,
Xint Striped V-Neck Fit & Flare Dress,2299,Clothing,Dresses,https://assets.ajio.com/medias/sys_master/root/20230914/sfLc/65033085afa4cf41f5e557a8/xint_beige_%26_white_striped_v-neck_fit_%26_flare_dress.jpg,261,Elegant dress with a flattering silhouette — perfect for any occasion.,https://www.ajio.com/xint-striped-v-neck-fit--flare-dress/p/469490382_beige,beige,Women,
TRENDYOL Printed Skater Dress,2199,Clothing,Dresses,https://assets.ajio.com/medias/sys_master/root/20221125/YrCm/6380f336f997ddfdbd9ecaa1/trendyol_peach_printed_skater_dress.jpg,340,Elegant dress with a flattering silhouette — perfect for any occasion.,https://www.ajio.com/trendyol-printed-skater-dress/p/469204708_multicolour,multicolour,Women,
Z-One Front-Open Cardigan with Drop-Shoulders,1399,Clothing,Sweaters & Cardigans,https://assets.ajio.com/medias/sys_master/root/20230522/TcH3/646b8995d55b7d0c63cdfa95/z-one_pink_front-open_cardigan_with_drop-shoulders.jpg,279,Premium quality Sweaters & Cardigans at an unbeatable discounted price — grab it before stock runs out.,https://www.ajio.com/z-one-front-open-cardigan-with-drop-shoulders/p/469058281_rose,rose,Women,
Z-One Floral Print V-neck Top,1399,Clothing,Tops,https://assets.ajio.com/medias/sys_master/root/20221010/3qZJ/63443e51f997ddfdbd188335/z-one_black_floral_print_v-neck_top.jpg,280,"Trendy top with a chic design — pairs well with jeans, skirts, or palazzos.",https://www.ajio.com/z-one-floral-print-v-neck-top/p/469058293_black,black,Women,
